,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Mataura,-46.1927,168.8643,54.9,47,70,6.04,NZ,2021-10-31 21:25:43
93,Inirida,3.8653,-67.9239,79.32,91,94,2.62,CO,2021-10-31 21:25:43
94,Chifeng,42.2683,118.9636,37.49,77,83,3.91,CN,2021-10-31 21:25:43
95,Abnub,27.2696,31.1511,77.92,37,13,8.32,EG,2021-10-31 21:25:44
96,Koumac,-20.5667,164.2833,75.56,62,38,9.55,NC,2021-10-31 21:25:44
97,Lavrentiya,65.5833,-171.0,12.25,83,4,12.12,RU,2021-10-31 21:25:44
98,Misratah,32.3754,15.0925,72.54,65,100,13.15,LY,2021-10-31 21:23:35
99,Haapiti,-17.5667,-149.8667,82.13,69,77,12.44,PF,2021-10-31 21:25:45
100,Mendi,-6.1761,143.6513,56.75,95,99,2.82,PG,2021-10-31 21:25:45
101,Mar Del Plata,-38.0023,-57.5575,56.08,85,90,1.99,AR,2021-10-31 21:25:45
102,Dryden,49.7833,-92.7503,34.09,93,90,6.91,CA,2021-10-31 21:21:04
103,Ponta Do Sol,32.6667,-17.1,74.03,82,59,6.8,PT,2021-10-31 21:25:45
104,Takoradi,4.8845,-1.7554,78.64,88,100,11.48,GH,2021-10-31 21:25:46
105,Hermanus,-34.4187,19.2345,62.91,84,100,10.58,ZA,2021-10-31 21:25:46
106,Nouadhibou,20.931,-17.0347,71.58,78,2,10.36,MR,2021-10-31 21:25:46
107,Hithadhoo,-0.6,73.0833,82.26,76,100,18.1,MV,2021-10-31 21:25:47
108,Palmer,42.1584,-72.3287,63.95,75,75,5.75,US,2021-10-31 21:22:20
109,Faanui,-16.4833,-151.75,78.64,71,99,15.66,PF,2021-10-31 21:21:51
110,Huanren,41.2647,125.3667,39.69,85,97,5.03,CN,2021-10-31 21:25:47
111,Belmonte,-15.8631,-38.8828,79.3,82,43,8.28,BR,2021-10-31 21:25:47
112,Tolaga Bay,-38.3667,178.3,62.73,48,100,3.6,NZ,2021-10-31 21:25:48
113,San Miguel,13.4833,-88.1833,91.06,62,20,2.3,SV,2021-10-31 21:25:48
114,Vilyuysk,63.7553,121.6247,9.97,94,43,6.22,RU,2021-10-31 21:25:48
115,Raudeberg,61.9875,5.1352,49.6,74,100,1.01,NO,2021-10-31 21:25:49
116,Cap-Aux-Meules,47.3821,-61.8597,53.65,87,90,18.41,CA,2021-10-31 21:22:02
117,Hasaki,35.7333,140.8333,57.29,84,99,9.42,JP,2021-10-31 21:22:02
118,Evensk,61.95,159.2333,-1.44,79,45,11.16,RU,2021-10-31 21:25:49
119,Madina,5.6823,-0.1641,80.56,78,0,10.36,GH,2021-10-31 21:25:49
120,Aksu,41.1231,80.2644,45.16,41,0,4.85,CN,2021-10-31 21:21:10
121,Russell,32.3502,-85.1999,67.15,56,1,9.22,US,2021-10-31 21:25:50
122,Kaka,37.3482,59.6143,52.02,51,38,6.22,TM,2021-10-31 21:25:50
123,Buraydah,26.326,43.975,73.85,29,36,9.82,SA,2021-10-31 21:25:50
124,Alofi,-19.0595,-169.9187,76.89,83,41,12.66,NU,2021-10-31 21:25:51
125,Manzhouli,49.6,117.4333,24.51,39,17,5.61,CN,2021-10-31 21:25:51
126,Eureka,40.8021,-124.1637,69.75,69,67,7.0,US,2021-10-31 21:25:51
127,Maragogi,-9.0122,-35.2225,77.74,75,41,9.84,BR,2021-10-31 21:25:52
128,Nemuro,43.3236,145.575,49.84,68,10,8.01,JP,2021-10-31 21:25:52
129,Kama,56.3051,54.0936,42.71,93,88,8.81,RU,2021-10-31 21:25:52
130,Vaini,-21.2,-175.2,77.16,94,75,10.36,TO,2021-10-31 21:25:53
131,Santa Vitoria Do Palmar,-33.5189,-53.3681,69.82,82,34,9.82,BR,2021-10-31 21:25:53
132,Hurricane,37.1753,-113.2899,79.14,27,3,11.43,US,2021-10-31 21:25:53
133,Colquechaca,-18.6667,-66.0167,43.72,49,70,1.9,BO,2021-10-31 21:25:53
134,Tuktoyaktuk,69.4541,-133.0374,28.4,80,75,12.66,CA,2021-10-31 21:25:54
135,Yokadouma,3.5167,15.05,71.2,95,98,1.1,CM,2021-10-31 21:25:54
136,Rundu,-17.9333,19.7667,76.95,43,3,6.87,NA,2021-10-31 21:25:54
137,Linqing,36.8456,115.7117,48.25,90,0,7.38,CN,2021-10-31 21:26:55
138,Gravelbourg,49.8834,-106.5512,35.87,40,1,12.28,CA,2021-10-31 21:26:55
139,Socorro,31.6546,-106.3033,80.46,17,75,5.75,US,2021-10-31 21:26:55
140,Yerbogachen,61.2767,108.0108,19.87,79,100,5.3,RU,2021-10-31 21:26:56
141,Hamilton,39.1834,-84.5333,62.04,70,75,3.0,US,2021-10-31 21:25:42
142,Poya,-21.35,165.15,75.51,57,6,5.01,NC,2021-10-31 21:26:56
143,Bluff,-46.6,168.3333,54.01,68,95,24.29,NZ,2021-10-31 21:26:56
144,Los Llanos De Aridane,28.6585,-17.9182,66.13,71,20,1.01,ES,2021-10-31 21:26:57
145,Yar-Sale,66.8333,70.8333,1.4,92,73,4.74,RU,2021-10-31 21:26:57
146,Kadaya,50.9327,119.2911,22.28,57,62,5.64,RU,2021-10-31 21:26:57
147,Kapaa,22.0752,-159.319,82.47,74,1,1.99,US,2021-10-31 21:26:58
148,Derzhavinsk,51.1,66.3167,44.73,75,100,15.26,KZ,2021-10-31 21:26:58
149,Rio Esteban,15.8333,-86.3,86.05,65,21,5.35,HN,2021-10-31 21:26:58
150,Shelburne,44.0787,-80.2041,51.28,80,5,16.91,CA,2021-10-31 21:23:05
151,Saskylakh,71.9167,114.0833,8.71,97,98,5.53,RU,2021-10-31 21:26:58
152,Beloha,-25.1667,45.05,73.27,74,98,4.5,MG,2021-10-31 21:26:59
153,Nyirmeggyes,47.9167,22.2667,42.69,57,0,3.0,HU,2021-10-31 21:26:59
154,Broken Hill,-31.95,141.4333,64.11,25,97,10.36,AU,2021-10-31 21:26:59
155,Semenivka,52.1783,32.5818,40.8,76,0,7.14,UA,2021-10-31 21:27:00
156,Saint George,37.1041,-113.5841,81.07,27,1,4.0,US,2021-10-31 21:25:57
157,Salalah,17.0151,54.0924,75.29,50,0,4.61,OM,2021-10-31 21:27:00
158,Butaritari,3.0707,172.7902,81.36,77,40,9.86,KI,2021-10-31 21:27:00
159,Vardo,70.3705,31.1107,35.58,87,75,21.85,NO,2021-10-31 21:27:01
160,Karratha,-20.7377,116.8463,71.58,64,0,7.38,AU,2021-10-31 21:27:01
161,Bonthe,7.5264,-12.505,76.75,90,51,4.59,SL,2021-10-31 21:27:02
162,Barras,-4.2444,-42.2944,76.98,81,100,3.47,BR,2021-10-31 21:27:02
163,Jacareacanga,-6.2222,-57.7528,78.01,88,100,1.74,BR,2021-10-31 21:23:16
164,Lagoa,39.05,-27.9833,69.58,87,100,4.99,PT,2021-10-31 21:26:04
165,Kota Belud,6.351,116.4305,74.75,84,94,5.91,MY,2021-10-31 21:27:03
166,Bereda,43.2686,-7.5406,56.41,95,100,6.78,ES,2021-10-31 21:27:03
167,Clyde River,70.4692,-68.5914,17.4,89,100,5.57,CA,2021-10-31 21:27:03
168,Gat,31.61,34.7642,83.08,35,49,15.1,IL,2021-10-31 21:27:04
169,Warrington,53.3925,-2.5802,50.36,91,40,4.0,GB,2021-10-31 21:27:04
170,Tautira,-17.7333,-149.15,82.42,75,61,14.09,PF,2021-10-31 21:22:39
171,Tecoanapa,16.5167,-98.75,83.59,70,99,7.63,MX,2021-10-31 21:27:05
172,Laguna,38.421,-121.4238,70.14,60,90,1.99,US,2021-10-31 21:27:05
173,Sarramea,-21.6421,165.8452,74.32,56,10,5.06,NC,2021-10-31 21:27:05
174,Ende,-8.8432,121.6623,78.35,85,86,3.13,ID,2021-10-31 21:27:06
175,Atambua,-9.1061,124.8925,74.66,84,75,1.59,ID,2021-10-31 21:27:06
176,Mecca,21.4267,39.8261,80.65,60,0,0.74,SA,2021-10-31 21:27:06
177,West Bay,19.3667,-81.4167,84.27,68,75,1.01,KY,2021-10-31 21:27:07
178,Concordia,-31.393,-58.0209,87.87,49,75,8.01,AR,2021-10-31 21:27:07
179,Martapura,-3.4167,114.85,75.29,100,90,3.44,ID,2021-10-31 21:27:07
180,Kvarkeno,52.0833,59.725,43.11,87,94,15.73,RU,2021-10-31 21:27:08
181,Avera,33.194,-82.5271,68.68,50,19,9.98,US,2021-10-31 21:27:08
182,Carnarvon,-24.8667,113.6333,66.27,68,90,18.41,AU,2021-10-31 21:27:08
183,Aklavik,68.2191,-135.0107,38.12,84,100,12.73,CA,2021-10-31 21:27:09
184,Bulgan,48.8125,103.5347,31.6,54,100,2.48,MN,2021-10-31 21:28:09
185,Kargasok,59.0556,80.8572,12.15,86,91,10.6,RU,2021-10-31 21:28:09
186,Malacatepec,18.9333,-98.3,75.31,52,24,8.05,MX,2021-10-31 21:28:10
187,Villa Alemana,-33.0422,-71.3733,71.91,82,90,9.22,CL,2021-10-31 21:28:10
188,Klaksvik,62.2266,-6.589,41.92,64,100,3.06,FO,2021-10-31 21:28:10
189,Iqaluit,63.7506,-68.5145,33.53,86,75,3.0,CA,2021-10-31 21:28:11
190,Bubaque,11.2833,-15.8333,82.78,76,20,12.82,GW,2021-10-31 21:28:11
191,Royal Palm Beach,26.7084,-80.2306,83.97,64,75,1.99,US,2021-10-31 21:28:11
192,Altus,34.6381,-99.334,69.31,44,1,1.99,US,2021-10-31 21:24:34
193,Mahon,39.8885,4.2658,68.56,94,0,5.75,ES,2021-10-31 21:28:12
194,Chaumont,48.1167,5.1333,52.38,92,99,13.69,FR,2021-10-31 21:28:12
195,Luganville,-15.5333,167.1667,80.96,72,11,5.88,VU,2021-10-31 21:28:12
196,Bongandanga,1.5,21.05,68.11,96,100,2.28,CD,2021-10-31 21:28:13
197,Nicoya,10.1483,-85.452,87.35,78,100,1.16,CR,2021-10-31 21:28:13
198,Mount Isa,-20.7333,139.5,76.77,29,15,2.3,AU,2021-10-31 21:28:13
199,Saposoa,-6.934,-76.7716,95.61,51,85,2.21,PE,2021-10-31 21:28:14
200,Pangnirtung,66.1451,-65.7125,25.32,96,100,5.08,CA,2021-10-31 21:28:14
201,Qaanaaq,77.484,-69.3632,12.36,69,100,7.65,GL,2021-10-31 21:28:14
202,Asyut,27.181,31.1837,77.99,37,10,8.57,EG,2021-10-31 21:26:21
203,Cayce,33.9657,-81.074,73.38,57,40,1.01,US,2021-10-31 21:26:37
204,Nenjiang,49.1833,125.2167,28.38,41,59,4.97,CN,2021-10-31 21:28:15
205,Namibe,-15.1961,12.1522,67.37,68,68,9.26,AO,2021-10-31 21:28:15
206,Katsuura,35.1333,140.3,61.2,88,86,9.51,JP,2021-10-31 21:28:15
207,Santa Lucia,27.9117,-15.5407,62.11,79,20,17.27,ES,2021-10-31 21:28:16
208,Grand Gaube,-20.0064,57.6608,72.0,81,11,3.0,MU,2021-10-31 21:28:16
209,Bogorodskoye,56.55,37.8833,40.5,85,6,9.64,RU,2021-10-31 21:28:16
210,Kolosovka,56.4678,73.611,22.62,91,100,5.7,RU,2021-10-31 21:28:17
211,Coahuayana,18.7333,-103.6833,86.36,63,68,6.31,MX,2021-10-31 21:28:17
212,Olafsvik,64.8945,-23.7142,35.26,70,38,17.0,IS,2021-10-31 21:28:17
213,Tyrma,50.0833,132.1667,20.41,69,6,0.98,RU,2021-10-31 21:28:18
214,Huilong,31.8111,121.655,63.03,67,96,2.84,CN,2021-10-31 21:28:18
215,Cidreira,-30.1811,-50.2056,68.81,85,6,22.3,BR,2021-10-31 21:28:18
216,Tasiilaq,65.6145,-37.6368,24.96,59,79,5.14,GL,2021-10-31 21:28:19
217,Barrow,71.2906,-156.7887,28.42,86,90,19.57,US,2021-10-31 21:25:02
218,Airai,-8.9266,125.4092,59.81,82,77,2.06,TL,2021-10-31 21:28:19
219,Longyearbyen,78.2186,15.6401,33.64,64,40,19.57,SJ,2021-10-31 21:28:20
220,Upernavik,72.7868,-56.1549,32.79,98,100,20.2,GL,2021-10-31 21:28:20
221,Mattru,7.6244,-11.8332,74.26,97,86,2.13,SL,2021-10-31 21:28:21
222,Wajima,37.4,136.9,60.49,79,64,8.72,JP,2021-10-31 21:28:21
223,Ambilobe,-13.2,49.05,72.72,90,8,3.09,MG,2021-10-31 21:28:22
224,Provideniya,64.3833,-173.3,19.51,63,0,6.71,RU,2021-10-31 21:28:22
225,Pierre,44.3683,-100.351,49.05,40,1,11.99,US,2021-10-31 21:28:22
226,Pagudpud,18.5616,120.7868,71.56,85,22,13.73,PH,2021-10-31 21:28:23
227,Algeciras,36.1333,-5.4505,73.06,88,75,13.8,ES,2021-10-31 21:29:23
228,Deputatskiy,69.3,139.9,-9.8,83,100,2.21,RU,2021-10-31 21:29:23
229,La Reforma,25.0833,-108.05,95.74,56,1,11.23,MX,2021-10-31 21:29:24
230,Egvekinot,66.3167,-179.1667,-0.62,85,98,9.33,RU,2021-10-31 21:29:24
231,Spassk-Dalniy,44.5978,132.8211,34.11,85,72,4.63,RU,2021-10-31 21:29:24
232,Rocha,-34.4833,-54.3333,69.89,82,99,7.25,UY,2021-10-31 21:24:52
233,Santana,-0.0583,-51.1817,86.18,74,40,5.75,BR,2021-10-31 21:29:25
234,Port Moresby,-9.4431,147.1797,76.42,94,20,3.44,PG,2021-10-31 21:25:17
235,Thompson,55.7435,-97.8558,33.96,75,75,12.66,CA,2021-10-31 21:24:44
236,Tibati,6.4667,12.6333,70.5,84,84,3.18,CM,2021-10-31 21:29:25
237,Kajaani,64.2273,27.7285,42.85,93,90,5.75,FI,2021-10-31 21:29:25
238,Saldanha,-33.0117,17.9442,60.85,82,98,7.09,ZA,2021-10-31 21:24:46
239,Nelson Bay,-32.7167,152.15,67.1,70,97,1.99,AU,2021-10-31 21:29:26
240,Parrita,9.5201,-84.3225,87.98,81,69,2.77,CR,2021-10-31 21:29:26
241,Chokurdakh,70.6333,147.9167,-11.33,100,99,5.95,RU,2021-10-31 21:28:24
242,Inhambane,-23.865,35.3833,70.45,80,34,2.89,MZ,2021-10-31 21:29:26
243,Santa Fe,-31.6333,-60.7,90.75,40,99,4.0,AR,2021-10-31 21:29:27
244,Hay River,60.8156,-115.7999,39.18,52,40,9.22,CA,2021-10-31 21:29:27
245,Sitka,57.0531,-135.33,48.09,66,75,5.75,US,2021-10-31 21:29:27
246,Limbang,4.75,115.0,77.31,97,100,2.75,MY,2021-10-31 21:29:28
247,Chuy,-33.6971,-53.4616,69.04,84,45,10.02,UY,2021-10-31 21:29:28
248,Havoysund,70.9963,24.6622,36.48,79,73,17.9,NO,2021-10-31 21:29:28
249,Irara,-12.05,-38.7667,77.99,65,85,12.57,BR,2021-10-31 21:29:28
250,Darnah,32.767,22.6367,67.59,77,100,17.34,LY,2021-10-31 21:29:29
251,Acapulco,16.8634,-99.8901,84.02,74,75,4.61,MX,2021-10-31 21:24:53
252,Batsfjord,70.6345,29.7185,35.6,93,75,23.02,NO,2021-10-31 21:29:29
253,Mount Gambier,-37.8333,140.7667,49.91,93,9,4.61,AU,2021-10-31 21:29:29
254,Waitati,-45.75,170.5667,56.8,44,34,3.94,NZ,2021-10-31 21:29:30
255,Sinnamary,5.3833,-52.95,79.05,84,65,8.23,GF,2021-10-31 21:29:30
256,Sur,22.5667,59.5289,82.0,60,0,12.39,OM,2021-10-31 21:29:30
257,Kavieng,-2.5744,150.7967,83.8,74,94,15.32,PG,2021-10-31 21:29:30
258,Port Blair,11.6667,92.75,80.06,81,84,1.28,IN,2021-10-31 21:29:31
259,Jumla,29.2747,82.1838,41.77,55,0,4.27,NP,2021-10-31 21:29:31
260,Kefamenanu,-9.4467,124.4781,72.07,94,92,0.87,ID,2021-10-31 21:29:31
261,Adrar,20.5022,-10.0711,86.63,13,98,7.78,MR,2021-10-31 21:29:32
262,Ruzhyn,49.7228,29.2046,41.32,66,0,7.11,UA,2021-10-31 21:29:32
263,Kisangani,0.5167,25.2,71.19,99,100,2.57,CD,2021-10-31 21:29:32
264,Antalaha,-14.9003,50.2788,72.07,91,9,3.38,MG,2021-10-31 21:29:33
265,Shakiso,5.75,38.9167,57.52,74,46,3.74,ET,2021-10-31 21:29:33
266,Yamada,39.4667,141.95,51.42,83,27,4.68,JP,2021-10-31 21:29:33
267,Cabedelo,-6.9811,-34.8339,81.27,73,59,15.21,BR,2021-10-31 21:29:33
268,Mao,39.8885,4.2658,68.56,94,0,5.75,ES,2021-10-31 21:28:12
269,Sao Filipe,14.8961,-24.4956,79.93,75,98,10.92,CV,2021-10-31 21:29:34
270,Kunnamangalam,11.3046,75.8777,77.63,94,41,3.11,IN,2021-10-31 21:29:34
271,Terra Santa,-2.1042,-56.4869,84.33,61,99,2.15,BR,2021-10-31 21:29:34
272,Pangai,-19.8,-174.35,78.91,69,20,16.11,TO,2021-10-31 21:29:35
273,Mahebourg,-20.4081,57.7,71.89,83,40,3.44,MU,2021-10-31 21:27:51
274,Katobu,-4.9408,122.5276,75.61,92,94,2.57,ID,2021-10-31 21:29:35
275,Port Macquarie,-31.4333,152.9167,62.89,65,49,3.87,AU,2021-10-31 21:28:30
276,Arvika,59.6553,12.5852,45.21,98,99,3.78,SE,2021-10-31 21:30:36
277,Tazovskiy,67.4667,78.7,-2.15,97,73,9.6,RU,2021-10-31 21:30:36
278,Nuuk,64.1835,-51.7216,36.21,93,75,24.16,GL,2021-10-31 21:30:37
279,Bilibino,68.0546,166.4372,-23.91,100,100,2.15,RU,2021-10-31 21:30:37
280,Namtsy,62.7161,129.6658,12.31,95,100,6.89,RU,2021-10-31 21:30:37
281,Fortuna,40.5982,-124.1573,67.42,63,90,5.99,US,2021-10-31 21:30:38
282,Bobo Dioulasso,11.1771,-4.2979,81.05,69,0,6.91,BF,2021-10-31 21:30:38
283,Nadym,65.5333,72.5167,3.72,89,35,7.47,RU,2021-10-31 21:30:38
284,Fort Nelson,58.8053,-122.7002,33.39,44,40,2.3,CA,2021-10-31 21:30:36
285,Ixtapa,20.7,-105.2,84.22,80,6,5.01,MX,2021-10-31 21:30:39
286,Shestakovo,56.4915,103.96,27.81,93,100,3.89,RU,2021-10-31 21:30:39
287,Dudinka,69.4058,86.1778,-12.64,100,93,6.04,RU,2021-10-31 21:30:39
288,Esperance,-33.8667,121.9,64.24,51,100,14.92,AU,2021-10-31 21:30:40
289,Port Lincoln,-34.7333,135.8667,59.7,63,0,8.99,AU,2021-10-31 21:26:53
290,Belaya Gora,68.5333,146.4167,-10.03,100,73,4.34,RU,2021-10-31 21:30:40
291,Bowen,-20.0167,148.2333,75.42,70,14,20.13,AU,2021-10-31 21:30:40
292,Alice Springs,-23.7,133.8833,58.55,94,29,6.91,AU,2021-10-31 21:30:41
293,Romny,50.751,33.4747,41.22,62,0,6.98,UA,2021-10-31 21:30:41
294,Cabo San Lucas,22.8909,-109.9124,87.62,63,40,4.0,MX,2021-10-31 21:30:41
295,Toppenish,46.3774,-120.3087,55.02,36,13,5.32,US,2021-10-31 21:30:42
296,Castro,-24.7911,-50.0119,59.22,98,97,5.48,BR,2021-10-31 21:30:42
